"gene_symbol","sample","expression","age_num","age"
"Ak1","Thalamus_18_Male_15",591.313132672809,15,"15M"
"Ak1","Thalamus_22_Male_15",617.868333892804,15,"15M"
"Ak1","Thalamus_26_Male_15",567.936971723011,15,"15M"
"Ak1","Thalamus_30_Male_15",660.771791305352,15,"15M"
"Ak1","Thalamus_34_Male_15",655.805126807514,15,"15M"
"Ak1","Thalamus_38_Female_15",590.721941065798,15,"15M"
"Ak1","Thalamus_42_Female_15",665.870753151955,15,"15M"
"Ak1","Thalamus_46_Female_15",589.284343244275,15,"15M"
"Ak1","Thalamus_50_Female_15",595.790842676948,15,"15M"
"Ak1","Thalamus_54_Female_15",535.905313069819,15,"15M"
"Ak1","Thalamus_19_Male_18",605.196438482957,18,"18M"
"Ak1","Thalamus_23_Male_18",772.782214274028,18,"18M"
"Ak1","Thalamus_27_Male_18",601.899504523362,18,"18M"
"Ak1","Thalamus_31_Male_18",625.841560162217,18,"18M"
"Ak1","Thalamus_35_Male_18",604.959077974005,18,"18M"
"Ak1","Thalamus_39_Female_18",578.207627897743,18,"18M"
"Ak1","Thalamus_43_Female_18",606.342038931486,18,"18M"
"Ak1","Thalamus_47_Female_18",511.960889919516,18,"18M"
"Ak1","Thalamus_51_Female_18",601.605956269143,18,"18M"
"Ak1","Thalamus_55_Female_18",600.490153970217,18,"18M"
"Ak1","Thalamus_16_Male_21",580.854029097755,21,"21M"
"Ak1","Thalamus_20_Male_21",598.747228315705,21,"21M"
"Ak1","Thalamus_24_Male_21",609.419820927543,21,"21M"
"Ak1","Thalamus_28_Male_21",551.914824354574,21,"21M"
"Ak1","Thalamus_32_Male_21",590.728331523822,21,"21M"
"Ak1","Thalamus_36_Male_21",597.117838458129,21,"21M"
"Ak1","Thalamus_40_Female_21",610.790750409298,21,"21M"
"Ak1","Thalamus_44_Female_21",586.925100557429,21,"21M"
"Ak1","Thalamus_48_Female_21",601.622580744129,21,"21M"
"Ak1","Thalamus_52_Female_21",543.582808495798,21,"21M"
"Ak1","Thalamus_56_Female_21",611.580825142533,21,"21M"
"Ak1","Thalamus_11_Male_26",635.806953572874,26,"26M"
"Ak1","Thalamus_14_Male_26",634.233222436985,26,"26M"
"Ak1","Thalamus_2_Male_26",636.932392261043,26,"26M"
"Ak1","Thalamus_5_Male_26",617.4132689627,26,"26M"
"Ak1","Thalamus_8_Male_26",642.367180969347,26,"26M"
"Ak1","Thalamus_57_Male_28",548.385998540861,28,"28M"
