"Sample","age"
"Motor cortex_11_Male_26",26
"Motor cortex_14_Male_26",26
"Motor cortex_2_Male_26",26
"Motor cortex_5_Male_26",26
"Motor cortex_8_Male_26",26
"Caudate putamen_11_Male_26",26
"Caudate putamen_14_Male_26",26
"Caudate putamen_2_Male_26",26
"Caudate putamen_5_Male_26",26
"Caudate putamen_8_Male_26",26
"Entorhinal cortex_14_Male_26",26
"Entorhinal cortex_5_Male_26",26
"Entorhinal cortex_8_Male_26",26
"Hippocampus (posterior)_11_Male_26",26
"Hippocampus (posterior)_14_Male_26",26
"Hippocampus (posterior)_2_Male_26",26
"Hippocampus (posterior)_5_Male_26",26
"Hippocampus (posterior)_8_Male_26",26
"Hippocampus (anterior)_11_Male_26",26
"Hippocampus (anterior)_14_Male_26",26
"Hippocampus (anterior)_2_Male_26",26
"Hippocampus (anterior)_5_Male_26",26
"Hippocampus (anterior)_8_Male_26",26
"Hypothalamus_11_Male_26",26
"Hypothalamus_14_Male_26",26
