"","age","region","bio","AMPdGMP","AdG","C","G","GMP","I","UMPpseudoUMP","UpseudoU","ca5dC","dA","dAMP","dCTP","dITP","f5dC","f5dCTP","m6Am","m6dA","mA","mChm5dC","mG","mU"
"81","21M","Thalamus","3",38.6137800006219,7.22675387401599,0.145226843457376,0,1.71217021555935,170.74767208443,0,4.29739486989607,0,0.102080863041372,0.677453858533774,0,0,0.0962290785159022,0,0,0.213108394155022,1.65931667267554,431.672833183873,0.205293849204835,0.133308386188166
"82","21M","ventral striatum","1",36.3282361236515,18.7186408444616,1.17435404209873,0,1.0592159118796,171.611171500681,0.370630513117057,6.23715138068044,0,0,0,0,0,0,0,0,0,0.893448078820546,762.894679319965,0,0.967029497985483
"83","21M","ventral striatum","2",57.4972852652417,35.6863004619237,0.63908143678362,0.861532995168777,7.41464685617089,127.814602687381,3.26006552903308,5.65363404659607,0,1.47793830015594,0.449223119252645,0,0,0.579028685117502,0,0,0.742747848317608,2.82449656826843,679.120754203956,0,0.294812118227529
"84","21M","ventral striatum","3",44.2182934422745,8.28374169940052,2.51407617610167,0,3.21171706954484,211.909303997544,0,5.32670947358248,0,0.408904665459415,0.697108757087728,0,0,0,0,0,0.344348621728506,2.67139006520893,816.39666534657,0,0
"85","6M","anterior olfactory","1",53.7508965095172,24.9669647249956,1.33995654496887,0,7.50227045498822,126.213714352111,0,5.40065688836624,0,6.28030816741544,0,0,0,0.648844137933076,0,0,4.9512987192274,4.91142252946143,596.867991142573,0,0
"86","6M","anterior olfactory","2",25.2350942296338,29.9454007421319,0,0,5.11938186887027,135.346128620067,0,6.37253323213427,0,2.13848595145893,0,0,0,0,0,0,4.29569691515565,4.43655761906158,421.088964287771,0,0
"87","6M","anterior olfactory","3",36.529239399528,48.3488751562264,0,0.621776008356636,4.81830831345463,89.6841220966837,0,1.24743528470532,0,1.18888741304808,0,0,0,1.56704974026109,0,1.82281105389079,1.89780971190088,0.882686878636604,385.32698123005,0,0.650751362064445
"88","6M","basal forebrain","1",55.338050107079,4.21167180987142,0.701003250747581,0,5.03315749490697,248.167000860603,0,4.49644212107223,0,4.29999429477872,1.0992586929427,0,0,0.963196077218138,0,0,4.66240859114768,3.55422417166307,941.104950948394,0.558669736474665,1.19310682625632
"89","6M","basal forebrain","2",46.8759924552478,0,0.614132349768764,0,7.70488080862852,269.360376507672,0,6.6105892572834,0,1.50382657344316,0,0,0,0,0,0.73139307590378,1.29846843369867,4.56469180571551,799.196341207707,0.635580081565219,0.857932362071637
"90","6M","basal forebrain","3",49.9942002662043,1.16199841683824,2.98159330050199,0,2.12748199832525,184.839349275847,0.931640623976659,3.09599287527684,0,3.24002465925486,0,0,0,0,0,0,2.18598679803644,1.95807119703736,699.951578782222,0.544136486044405,0
"91","6M","caudate putamen","1",56.5606900828745,3.4167296345696,1.89860557120707,0,6.49884547576486,122.866383878897,1.48102002304414,2.14057564959617,0,2.97297259936568,0.436753065345773,0,0,0.511675225788146,0,0.166921848906929,3.03373736783878,2.23174418892123,564.110310762844,0.814297750319627,1.25566855426118
